food,carbs_g,protein_g,fat_g,fiber_g,calories,calories.1,GI,GI_band,GI_source,GI_confidence,GL_per_serving,Veg/Non-veg
Hot tea (Garam Chai),2.58,0.39,0.53,0.0,16.14,16.14,40.1,Low,Estimated(Nutrient),Low,1.03,Veg
Instant coffee,3.65,0.64,0.75,0.0,23.16,23.16,42.3,Low,Estimated(Nutrient),Low,1.54,Veg
Espreso coffee,6.62,1.75,2.14,0.0,51.54,51.54,40.3,Low,Estimated(Nutrient),Low,2.67,Veg
Iced tea,2.7,0.03,0.01,0.0,10.34,10.34,50.5,Low,Estimated(Nutrient),Low,1.36,Veg
Raw mango drink (Aam panna),9.05,0.16,0.03,0.61,35.92,35.92,45.0,Low,Estimated(Category),Medium,4.07,Veg
Fruit Punch (with fresh juices),9.38,0.14,0.03,0.06,36.12,36.12,45.0,Low,Estimated(Category),Medium,4.22,Veg
Fruit Punch (with squashes),5.99,0.07,0.02,0.17,23.13,23.13,45.0,Low,Estimated(Category),Medium,2.7,Veg
Lemonade,5.48,0.03,0.01,0.02,20.8,20.8,45.0,Low,Estimated(Category),Medium,2.47,Veg
Lem-o-gin,5.55,0.08,0.03,0.13,21.52,21.52,58.3,Medium,Estimated(Nutrient),Low,3.24,Veg
Cumin infused water (Jeere/Zeere ka pani),1.86,0.17,0.11,0.46,9.09,9.09,41.5,Low,Estimated(Nutrient),Low,0.77,Veg
Coco pine cooler,5.72,0.56,1.0,0.26,32.75,32.75,48.4,Low,Estimated(Nutrient),Low,2.77,Veg
Summer cooler,5.43,0.37,0.04,0.2,22.43,22.43,55.6,Medium,Estimated(Nutrient),Low,3.02,Veg
Hot cocoa,9.23,3.36,4.56,0.0,90.1,90.1,35.6,Low,Estimated(Nutrient),Low,3.29,Veg
Cold coffee with ice cream,11.24,1.57,2.11,0.01,67.85,67.85,63.0,Medium,Estimated(Category),Medium,7.08,Veg
Banana milkshake (Kele milkshake),9.15,1.84,2.37,0.26,65.31,65.31,63.0,Medium,Estimated(Category),Medium,5.76,Veg
Mango milkshake (Aam milkshake),7.23,1.73,2.35,0.26,56.9,56.9,45.0,Low,Estimated(Category),Medium,3.25,Veg
Pineapple milkshake (Ananas milkshake),7.62,1.66,2.23,0.0,55.72,55.72,45.0,Low,Estimated(Category),Medium,3.43,Veg
